2023-05-15 01:14:43.730 [main] INFO  c.example.backend.BackendApplication - Starting BackendApplication using Java 19.0.2 with PID 22740 (C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend\target\classes started by Pratyush Upadhyay in C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend)
2023-05-15 01:14:43.733 [main] INFO  c.example.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 01:14:44.328 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-15 01:14:44.394 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61 ms. Found 7 JPA repository interfaces.
2023-05-15 01:14:44.836 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
2023-05-15 01:14:44.844 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
2023-05-15 01:14:44.844 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-15 01:14:44.844 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-15 01:14:44.915 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-15 01:14:44.915 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1135 ms
2023-05-15 01:14:45.018 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-15 01:14:45.074 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-15 01:14:45.340 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-15 01:14:45.459 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@48368a08
2023-05-15 01:14:45.461 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-15 01:14:45.477 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-15 01:14:45.479 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2023-05-15 01:14:46.305 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-15 01:14:46.315 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 01:14:46.994 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-15 01:14:47.222 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5a110e7d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b3cbc0e, org.springframework.security.web.context.SecurityContextHolderFilter@141874c8, org.springframework.security.web.header.HeaderWriterFilter@13f358f8, org.springframework.web.filter.CorsFilter@66e27ac9, org.springframework.security.web.authentication.logout.LogoutFilter@235b4aea, com.example.backend.config.JwtAuthenticationFilter@1a45e29f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@38aed8ad, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@79c4454, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@453bbb9b, org.springframework.security.web.session.SessionManagementFilter@8e100e7, org.springframework.security.web.access.ExceptionTranslationFilter@3aec2f59, org.springframework.security.web.access.intercept.AuthorizationFilter@4557723a]
2023-05-15 01:14:47.396 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9001"]
2023-05-15 01:14:47.412 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9001 (http) with context path ''
2023-05-15 01:14:47.418 [main] INFO  c.example.backend.BackendApplication - Started BackendApplication in 4.031 seconds (process running for 4.756)
2023-05-15 01:16:01.453 [http-nio-9001-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-15 01:16:01.454 [http-nio-9001-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-15 01:16:01.455 [http-nio-9001-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-15 01:16:01.561 [http-nio-9001-exec-2] INFO  c.e.b.controller.UserController - [Authenticate] - [POST]
2023-05-15 01:30:42.385 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-15 01:30:42.387 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-15 01:30:42.395 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-05-15 01:38:17.170 [main] INFO  c.example.backend.BackendApplication - Starting BackendApplication using Java 19.0.2 with PID 24644 (C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend\target\classes started by Pratyush Upadhyay in C:\Users\Pratyush Upadhyay\Desktop\JahazBooker\JB_backend)
2023-05-15 01:38:17.172 [main] INFO  c.example.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 01:38:17.725 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-15 01:38:17.787 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 7 JPA repository interfaces.
2023-05-15 01:38:18.214 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
2023-05-15 01:38:18.220 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
2023-05-15 01:38:18.221 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-15 01:38:18.221 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-15 01:38:18.287 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-15 01:38:18.287 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1079 ms
2023-05-15 01:38:18.385 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-15 01:38:18.423 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-15 01:38:18.665 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
